time series,wave[m],ship_speed_kn,surge[m],sway[m],heave[m],roll[deg],pitch[deg],yaw[deg]
0,0.260967,2,0.000169,0.000055,0.003046,-0.000686,0.009371,0.000009
1,-0.142079,2,-0.000163,0.000043,-0.004454,-0.001024,-0.008965,0.000136
4.095,-0.198353,2,-0.000058,0.000089,-0.000397,-0.001082,0.001308,0.000131
4.299,-0.243745,2,-0.000049,-0.000046,0.000147,-0.0006,0.001545,-0.000073
4.487,-0.285749,2,-0.000027,-0.000052,0.000584,0.000302,0.001768,-0.000078
4.66,-0.065717,2,0.000005,-0.000013,0.000853,0.000909,0.001993,-0.00001
4.849,0.06541,2,0.00005,-0.000037,0.000948,0.000822,0.001944,-0.000008
5.037,0.119891,2,0.000095,-0.000073,0.000683,0.000182,0.00088,-0.000025
5.257,0.182788,2,0.00013,0.000005,-0.000139,-0.000497,-0.001683,0.000059
5.461,0.160645,2,0.000135,0.0001,-0.001014,-0.000816,-0.003923,0.000149
5.634,0.156245,2,0.000117,0.000113,-0.001427,-0.000821,-0.004707,0.000133
5.822,0.228293,2,0.000079,0.000068,-0.001212,-0.000364,-0.003885,0.000026
6.027,0.01346,2,0.00003,-0.000041,-0.000262,0.000719,-0.001236,-0.000147
6.199,-0.105342,2,-0.000017,-0.000159,0.000588,0.001641,0.00116,-0.000296
6.404,-0.221268,2,-0.000085,-0.000207,0.001188,0.001707,0.002946,-0.000343
6.576,-0.104775,2,-0.000146,-0.000117,0.001478,0.000511,0.003852,-0.000181
6.765,-0.149486,2,-0.000199,0.000054,0.001574,-0.001282,0.004253,0.000138
7.125,-0.089686,2,-0.000229,0.000244,0.000091,-0.00158,0.000282,0.000478
7.314,0.176881,2,-0.000186,0.000087,-0.000814,-0.000068,-0.002242,0.000181
7.502,0.141789,2,-0.000086,-0.000164,-0.001241,0.00129,-0.003323,-0.000291
7.675,0.096388,2,0.000043,-0.000221,-0.001327,0.001591,-0.003419,-0.000435
7.864,0.042711,2,0.00019,-0.00001,-0.001054,0.000713,-0.002591,-0.000098
8.037,0.038896,2,0.000298,0.0002,-0.000443,-0.000546,-0.000755,0.000281
8.225,-0.101059,2,0.00036,0.000201,0.000314,-0.001433,0.001844,0.000327
8.414,-0.009083,2,0.000342,0.000021,0.000835,-0.001289,0.004014,0.000068
8.586,0.036476,2,0.000258,-0.000122,0.000988,-0.00033,0.00482,-0.000151
8.775,0.053159,2,0.000116,-0.00018,0.0007,0.001045,0.003774,-0.00026
8.948,0.141227,2,-0.00003,-0.000191,-0.000016,0.001855,0.001035,-0.000296
9.121,0.13698,2,-0.000164,-0.000186,-0.000973,0.00179,-0.002597,-0.000299
9.294,0.05705,2,-0.00026,-0.000117,-0.001797,0.000916,-0.005833,-0.000208
