2.5 kn; 0 deg,,,,,,,,,,,,,,,,
,Encounter freq. rad/s,Wave freq. rad/s,Wavelength m,Surge RAO,Surge Phase deg,Sway RAO,Sway Phase deg,Heave RAO,Heave Phase deg,Roll RAO,Roll Phase deg,Pitch RAO,Pitch Phase deg,Yaw RAO,Yaw Phase deg,Added resistance kN/m^2
1,0.379,0.4,385.106,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.424,0.451,302.784,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.469,0.502,244.292,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.513,0.553,201.246,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.557,0.604,168.651,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.599,0.656,143.378,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.641,0.707,123.388,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.682,0.758,107.304,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.723,0.809,94.172,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.763,0.86,83.311,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.802,0.911,74.226,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.841,0.962,66.55,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.879,1.013,60.006,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.916,1.064,54.382,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.952,1.116,49.513,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.988,1.167,45.27,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.023,1.218,41.549,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.058,1.269,38.27,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.091,1.32,35.363,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1.125,1.371,32.776,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1.157,1.422,30.463,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1.189,1.473,28.386,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1.22,1.524,26.514,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1.25,1.576,24.822,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1.28,1.627,23.286,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1.309,1.678,21.889,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1.337,1.729,20.614,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1.364,1.78,19.447,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1.391,1.831,18.377,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1.418,1.882,17.392,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1.443,1.933,16.485,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1.468,1.984,15.647,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1.492,2.036,14.871,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1.516,2.087,14.151,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1.538,2.138,13.483,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1.561,2.189,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1.582,2.24,12.28,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1.603,2.291,11.738,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1.623,2.342,11.232,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1.642,2.393,10.757,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1.661,2.444,10.312,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1.679,2.496,9.894,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1.696,2.547,9.501,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1.713,2.598,9.131,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1.729,2.649,8.782,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1.744,2.7,8.452,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1.759,2.751,8.141,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1.772,2.802,7.847,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1.786,2.853,7.568,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1.798,2.904,7.304,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1.81,2.956,7.054,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1.821,3.007,6.816,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1.832,3.058,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1.841,3.109,6.375,0,0,0,0,0,0,0,0,0,0,0,0,0
