Hydrostatic Coefficients,,,,INPUT PARAMETERS FOR DATA,,
Displacement,44227,t,,Parameter,Values to Use,Count
Volume (displaced),43148.018,m^3,,Draft,"50%, 62.5%, 75%, 87.5%, 100% design",5
Draft at AP,18.9,m,,Trim,"-2°, -1°, 0°, +1°, +2°",5
Draft Amidships,10.56,m,,Heel,"-5°, 0°, +5°",3
Draft at FP,2.22,m,,Hs (Significant wave height),"1, 2, 3, 4, 6, 8 m",6
Trim (+ve by stern),16.68,m,,Tp (peak period),"6, 8, 10, 12, 14 s",5
Trim angle (+ve by stern),5,deg,,Heading,"0°, 45°, 90°, 135°, 180°",5
Heel,0,deg,,Speed,"0, 0.5×design, 1.0×design",3
Max deck inclination,5,deg,,,,
Immersed depth,17.599,m,,V = 17.2 kn,,
WL Length,199.703,m,,,,
Beam max extents on WL,32.207,m,,,,
Wetted Area,7430.018,m^2,,,,
Max sect. area,388.25,m^2,,,,
Waterpl. Area,5003.641,m^2,,,,
Prismatic coeff. (Cp),0.556,,,,,
Block coeff. (Cb),0.381,,,,,
Max Sect. area coeff. (Cm),0.899,,,,,
Waterpl. area coeff. (Cwp),0.778,,,,,
LCB length,68.289,from zero pt. (+ve fwd) m,,,,
LCF length,74.942,from zero pt. (+ve fwd) m,,,,
LCB %,34.195,from zero pt. (+ve fwd) % Lwl,,,,
LCF %,37.527,from zero pt. (+ve fwd) % Lwl,,,,
KB,7.953,m,,,,
KG,10.56,m,,,,
BMt,9.121,m,,,,
BML,253.324,m,,,,
GMt,6.504,m,,,,
GML,250.708,m,,,,
KMt,17.039,m,,,,
KML,260.313,m,,,,
Immersion (TPc),51.287,tonne/cm,,,,
MTc,581.579,tonne.m,,,,
RM at 1deg = GMt.Disp.sin(1),5020.15,tonne.m,,,,
Length:Beam ratio,6.201,,,,,
Beam:Draft ratio,1.83,,,,,
Length:Vol^0.333 ratio,5.694,,,,,
Precision,Medium,65 stations,,,,
,,,,,,
Hull Parameters,,,,,,
LWL,199.703,m,,,,
Beam,32.207,m,,,,
Draft,17.599,m,,,,
Displaced volume,43148.018,m^3,,,,
Wetted area,7430.018,m^2,,,,
Prismatic coeff. (Cp),0.556,,,,,
Waterpl. area coeff. (Cwp),0.778,,,,,
1/2 angle of entrance,4.5,deg.,,,,
LCG from midships(+ve for'd),-26.809,m,73.0425,,,
Transom area,6.552,m^2,,,,
Transom wl beam,31.678,m,,,,
Transom draft,4.114,m,,,,
Max sectional area,388.25,m^2,,,,
Bulb transverse area,0.189,m^2,,,,
Bulb height from keel,1.818,m,,,,
Draft at FP,2.22,m,,,,
Deadrise at 50% LWL,1.9,deg.,,,,
Hard chine or Round bilge,Round bilge,,,,,
,,,,,,
Frontal Area,0,m^2,,,,
Headwind,0,kn,,,,
Drag Coefficient,0,,,,,
Air density,0.001,tonne/m^3,,,,
Appendage Area,0,m^2,,,,
Nominal App. length,0,m,,,,
Appendage Factor,1,,,,,
,,,,,,
Correlation allowance,0.0004,,,,,
Kinematic viscosity,0.0000011883,m^2/s,,,,
Water Density,1.0259,tonne/m^3,,,,
