time[s],wave[m],surge[m],sway[m],heave[m],roll[deg],pitch[deg],yaw[deg]
0,0,-1.336488,-1.310962,-0.316702,-0.119952,2.44976,0.20817
1,1.44414,-1.151366,-1.301193,0.692166,-0.010124,2.180684,-0.159486
2.048,2.764178,-0.806025,-1.119499,1.656073,0.106073,1.611891,-0.522981
2.127,2.850518,-0.774888,-1.099229,1.721146,0.114441,1.559018,-0.548088
2.207,2.935698,-0.742744,-1.077834,1.785681,0.122824,1.504243,-0.573079
2.286,3.017522,-0.710423,-1.055865,1.848017,0.131006,1.448979,-0.597311
2.365,3.097006,-0.677551,-1.033077,1.908919,0.139087,1.392591,-0.62108
2.506,3.232862,-0.617591,-0.990425,2.013909,0.153237,1.289294,-0.662293
2.586,3.306414,-0.582883,-0.965131,2.071282,0.1611,1.229253,-0.684956
2.665,3.376466,-0.548154,-0.9394,2.126322,0.168738,1.169003,-0.706801
2.744,3.443899,-0.513,-0.91294,2.179712,0.176246,1.107846,-0.728097
2.823,3.508662,-0.477448,-0.885773,2.231412,0.183617,1.045831,-0.748829
2.902,3.570703,-0.441526,-0.857918,2.281382,0.190845,0.983004,-0.768981
2.997,3.641639,-0.397878,-0.823543,2.339126,0.199341,0.906448,-0.792422
3.076,3.697521,-0.361239,-0.794252,2.385149,0.206237,0.842007,-0.81124
3.155,3.750535,-0.324319,-0.764345,2.429323,0.212972,0.776914,-0.829428
3.234,3.80064,-0.287149,-0.733846,2.471613,0.219542,0.711218,-0.846974
3.313,3.847799,-0.249755,-0.702777,2.511985,0.225942,0.644971,-0.863862
3.392,3.891973,-0.212168,-0.671164,2.55041,0.232167,0.578223,-0.880081
3.472,3.93363,-0.173938,-0.63862,2.587306,0.238287,0.510174,-0.895809
3.551,3.971697,-0.136049,-0.605984,2.621721,0.244145,0.442576,-0.910642
3.63,4.006683,-0.098055,-0.572878,2.654103,0.249813,0.374636,-0.924768
3.709,4.038563,-0.059986,-0.539328,2.684427,0.255287,0.306405,-0.938177
3.788,4.06731,-0.021869,-0.50536,2.712669,0.260564,0.237937,-0.950859
3.867,4.092903,0.016264,-0.471,2.738807,0.265638,0.169284,-0.962803
3.946,4.115322,0.054385,-0.436274,2.762821,0.270507,0.100499,-0.974001
4.025,4.13455,0.092464,-0.40121,2.784692,0.275165,0.031637,-0.984443
4.105,4.150753,0.130951,-0.365386,2.80464,0.279666,-0.038122,-0.994239
4.184,4.163515,0.168856,-0.329724,2.822149,0.283891,-0.106979,-1.003137
4.263,4.173047,0.206629,-0.293806,2.83747,0.287897,-0.175753,-1.011257
4.342,4.179343,0.244242,-0.25766,2.85059,0.291679,-0.244391,-1.018593
4.421,4.182398,0.281666,-0.221315,2.8615,0.295235,-0.312839,-1.025139
4.5,4.18221,0.318871,-0.184798,2.87019,0.298562,-0.381045,-1.03089
4.579,4.178778,0.355829,-0.148137,2.876655,0.301658,-0.448955,-1.035841
